Data Source in SDW: null
,MIR.M.AT.B.A2Z.A.R.A.2250.EUR.N,MIR.M.BE.B.A2Z.A.R.A.2250.EUR.N,MIR.M.CY.B.A2Z.A.R.A.2250.EUR.N,MIR.M.DE.B.A2Z.A.R.A.2250.EUR.N,MIR.M.EE.B.A2Z.A.R.A.2250.EUR.N,MIR.M.ES.B.A2Z.A.R.A.2250.EUR.N,MIR.M.FI.B.A2Z.A.R.A.2250.EUR.N,MIR.M.FR.B.A2Z.A.R.A.2250.EUR.N,MIR.M.GR.B.A2Z.A.R.A.2250.EUR.N,MIR.M.IE.B.A2Z.A.R.A.2250.EUR.N,MIR.M.IT.B.A2Z.A.R.A.2250.EUR.N,MIR.M.LT.B.A2Z.A.R.A.2250.EUR.N,MIR.M.LU.B.A2Z.A.R.A.2250.EUR.N,MIR.M.LV.B.A2Z.A.R.A.2250.EUR.N,MIR.M.MT.B.A2Z.A.R.A.2250.EUR.N,MIR.M.NL.B.A2Z.A.R.A.2250.EUR.N,MIR.M.PT.B.A2Z.A.R.A.2250.EUR.N,MIR.M.SI.B.A2Z.A.R.A.2250.EUR.N,MIR.M.SK.B.A2Z.A.R.A.2250.EUR.N,MIR.M.U2.B.A2Z.A.R.A.2250.EUR.N
,Austria,Belgium,Cyprus,Germany,Estonia,Spain,Finland,France,Greece (GR),Ireland,Italy,Lithuania,Luxembourg,Latvia,Malta,Netherlands,Portugal,Slovenia,Slovakia,Euro area (changing composition)
Collection:,End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),Average of observations through period (A)
Period\Unit:,[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ]
2016Feb,4.20,8.09,6.13,8.85,16.38,11.03,6.41,6.00,8.18,10.40,6.07,9.60,7.24,21.58,6.79,5.83,15.28,6.80,13.86,7.36
2016Jan,4.17,8.05,6.13,8.83,16.41,10.85,6.44,6.10,8.19,9.91,6.07,9.58,7.10,21.51,6.82,5.81,15.41,6.79,13.97,7.35
2015Dec,3.99,8.21,6.16,8.69,16.32,10.49,6.40,5.86,8.22,10.37,5.91,9.45,6.96,21.59,6.84,5.88,15.16,6.65,13.72,7.23
2015Nov,4.09,8.20,6.15,8.82,16.37,10.73,6.49,6.18,8.30,9.11,6.12,9.53,6.88,21.67,6.78,5.97,15.32,6.79,14.10,7.37
2015Oct,4.10,8.40,6.16,8.89,16.42,10.86,6.52,6.15,8.34,9.29,6.11,9.40,7.08,21.74,6.78,5.93,15.55,6.74,14.12,7.41
2015Sep,4.32,8.58,6.17,8.95,16.44,10.87,6.52,6.41,8.53,9.38,6.14,9.33,7.07,21.75,6.79,5.97,15.51,6.81,14.21,7.53
2015Aug,4.28,8.27,6.36,8.91,16.40,10.81,6.47,6.39,8.59,8.91,6.12,9.39,7.13,21.80,6.60,6.05,15.21,6.79,14.26,7.49
2015Jul,4.07,8.23,6.38,8.90,16.37,10.74,6.44,6.25,8.45,8.83,6.19,9.43,7.26,21.82,6.78,5.92,15.42,6.71,14.21,7.44
2015Jun,4.29,8.17,6.42,9.01,16.36,10.83,6.47,6.57,8.65,8.54,6.27,9.50,7.33,21.92,6.78,5.87,15.47,6.76,14.15,7.58
2015May,4.32,8.12,6.46,8.99,16.33,11.07,6.49,6.72,8.57,8.39,6.28,9.61,7.32,21.81,6.76,5.90,15.81,6.80,14.14,7.62
2015Apr,4.21,8.24,6.40,9.10,16.31,11.09,6.67,6.58,8.57,8.32,6.36,9.64,7.33,21.86,6.78,5.99,15.73,6.82,13.97,7.64
2015Mar,4.43,8.31,6.23,9.21,16.32,11.21,6.57,6.89,8.57,8.41,6.37,9.32,7.59,21.56,6.77,6.05,15.66,6.86,13.89,7.75
2015Feb,4.26,8.09,7.14,9.22,16.32,11.44,6.69,6.89,8.62,8.35,6.57,9.31,8.45,21.55,6.75,5.97,15.80,6.90,13.96,7.80
2015Jan,4.24,8.31,7.18,9.22,16.32,11.13,6.67,6.87,8.58,7.50,6.57,9.27,8.22,21.61,6.76,6.04,15.83,6.90,14.00,7.76
2014Dec,4.20,8.37,7.20,9.20,16.26,10.92,6.63,6.65,8.58,7.71,6.40,3.92,8.68,21.45,6.77,6.01,15.51,6.87,13.75,7.64
2014Nov,4.30,8.32,7.19,9.20,16.35,11.01,6.62,7.10,8.66,7.59,6.65,3.86,7.39,21.11,6.73,6.08,15.90,7.01,13.40,7.80
2014Oct,4.30,8.40,7.20,9.27,16.36,10.63,6.60,6.96,9.04,7.34,6.70,3.85,7.34,21.12,6.71,6.07,15.98,6.95,13.57,7.77
2014Sep,4.59,7.72,7.20,9.40,16.39,10.79,6.68,7.22,9.01,7.49,6.83,3.95,7.06,21.37,6.69,6.06,15.78,6.97,13.59,7.90
2014Aug,4.50,7.68,7.24,9.27,16.30,10.80,6.70,7.16,8.60,7.50,6.80,3.95,7.10,21.36,6.72,5.96,15.53,6.96,13.58,7.81
2014Jul,4.52,7.67,7.28,9.37,16.30,10.58,6.67,6.90,8.73,7.49,6.86,4.01,7.04,21.38,6.62,6.00,15.66,6.88,13.45,7.77
2014Jun,4.62,8.04,7.32,9.46,16.36,10.75,6.73,7.16,8.86,7.49,7.03,3.71,7.13,21.39,6.69,5.99,15.74,7.03,13.55,7.92
2014May,4.54,8.06,7.29,9.35,16.29,10.76,6.83,7.22,8.97,7.43,7.01,3.64,7.02,21.43,6.72,6.06,15.90,7.00,13.61,7.92
2014Apr,4.59,8.70,7.31,9.25,16.38,10.76,6.83,7.36,9.03,7.48,7.06,3.70,7.25,21.35,6.72,6.12,15.72,7.06,13.69,7.96
2014Mar,4.79,8.74,7.31,9.46,16.39,10.73,6.85,7.51,9.00,7.47,7.12,3.67,7.20,21.30,6.79,6.10,15.89,7.07,13.66,8.06
2014Feb,4.58,8.84,7.31,9.41,16.51,10.83,6.83,7.68,9.06,7.53,7.20,3.66,7.47,21.38,6.80,6.07,16.04,7.16,13.64,8.11
2014Jan,4.57,8.95,7.33,9.45,16.52,10.50,6.79,7.48,9.09,7.57,7.18,3.66,7.12,21.66,6.82,6.11,15.96,7.12,13.72,8.04
2013Dec,4.50,8.97,7.23,9.42,16.47,10.04,6.76,7.33,9.12,7.61,6.97,3.69,7.56,8.56,6.86,6.08,15.54,7.20,13.65,7.92
2013Nov,4.44,8.94,7.32,9.44,16.53,10.61,6.76,7.57,9.07,7.56,7.08,3.64,7.10,8.62,6.83,6.17,15.79,7.30,13.72,8.02
2013Oct,4.62,9.01,7.80,9.53,16.53,10.62,6.73,7.41,9.31,7.46,7.19,3.55,7.21,8.78,6.88,6.23,16.03,7.25,13.81,8.08
2013Sep,4.85,8.98,7.81,9.61,16.54,10.32,6.76,7.64,9.26,7.58,7.19,3.57,7.00,9.45,6.87,6.17,16.01,7.28,13.88,8.13
2013Aug,4.59,9.12,7.84,9.56,16.50,10.35,6.69,7.47,9.40,7.48,7.26,3.53,6.85,8.68,6.88,6.17,15.48,7.23,13.84,8.08
2013Jul,4.77,9.11,7.75,9.62,16.50,10.03,6.66,7.18,9.54,7.52,7.30,3.52,6.81,8.79,6.87,6.14,15.41,7.17,13.77,8.02
2013Jun,4.81,9.20,7.77,9.63,16.43,10.41,6.66,7.73,9.61,7.51,7.37,3.53,6.81,8.75,6.85,6.20,15.56,7.41,13.71,8.21
2013May,4.68,9.18,7.79,9.66,16.11,10.26,6.67,7.58,9.78,7.48,7.41,3.56,6.82,8.73,6.86,6.29,15.55,7.42,13.71,8.18
