geo,trade_type,partner,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999
AT,Export,EU28,193043.0,187548.0,184865.0,181689.0,181889.0,166299.0,143052.0,181180.0,176327.0,159517.0,147064.0,142481.0,131439.0,126666.0,,,
AT,Export,EXT_EU28,82468.0,80797.0,78903.0,77668.0,73038.0,63858.0,53376.0,65339.0,62447.0,58309.0,53871.0,46923.0,40317.0,39731.0,,,
AT,Import,EU28,215023.0,210492.0,211444.0,212546.0,212734.0,187011.0,160875.0,197137.0,190105.0,175463.0,165908.0,160883.0,144982.0,134624.0,,,
AT,Import,EXT_EU28,65242.0,63511.0,64554.0,65337.0,62293.0,52877.0,44262.0,53467.0,47817.0,43097.0,38657.0,31628.0,30994.0,30983.0,,,
BE,Export,EU28,517836.0,502888.0,495145.0,486102.0,492083.0,449191.0,402557.0,493688.0,478972.0,446775.0,412912.0,380546.0,349210.0,345248.0,,,
BE,Export,EXT_EU28,201294.0,208167.0,210766.0,208074.0,191352.0,165868.0,129415.0,147922.0,149924.0,137399.0,124557.0,112579.0,102730.0,111874.0,,,
BE,Import,EU28,425974.0,444974.0,451816.0,461888.0,454022.0,407918.0,357932.0,443276.0,423886.0,400297.0,369450.0,334570.0,305704.0,305757.0,,,
BE,Import,EXT_EU28,251526.0,239457.0,228369.0,221686.0,216871.0,182226.0,150802.0,190809.0,176710.0,159810.0,142853.0,124579.0,109685.0,113683.0,,,
BG,Export,EU28,29752.0,27529.0,26702.0,24474.0,25378.0,19103.0,15329.0,18490.0,16692.0,14664.0,11340.0,10006.0,8500.0,7559.0,,,
BG,Export,EXT_EU28,16571.0,16558.0,17842.0,17067.0,15152.0,12019.0,8071.0,11918.0,10333.0,8833.0,6973.0,5412.0,4835.0,4569.0,,,
BG,Import,EU28,34000.0,32225.0,30846.0,29921.0,27853.0,22584.0,20310.0,28583.0,25719.0,18944.0,15710.0,13301.0,11150.0,9732.0,,,
BG,Import,EXT_EU28,18816.0,20013.0,20808.0,20999.0,18962.0,15906.0,13442.0,21603.0,18004.0,11904.0,9235.0,9854.0,8073.0,7091.0,,,
CY,Export,EU28,1715.0,1543.0,1762.0,1644.0,1778.0,1403.0,1209.0,1543.0,1462.0,1494.0,1726.0,1029.0,518.0,520.0,,,
CY,Export,EXT_EU28,1582.0,1184.0,1278.0,1063.0,834.0,713.0,595.0,678.0,572.0,629.0,625.0,489.0,325.0,381.0,,,
CY,Import,EU28,7384.0,7269.0,6701.0,7859.0,8633.0,9108.0,8149.0,9849.0,8692.0,7589.0,7036.0,6152.0,4319.0,4492.0,,,
CY,Import,EXT_EU28,2649.0,2910.0,2807.0,3500.0,3836.0,3819.0,3086.0,4625.0,3880.0,3447.0,3108.0,2686.0,2835.0,3312.0,,,
CZ,Export,EU28,238136.0,216754.0,198237.0,198761.0,195178.0,169208.0,137920.0,170432.0,153338.0,130342.0,108073.0,97272.0,75687.0,70290.0,,,
CZ,Export,EXT_EU28,47506.0,46845.0,46132.0,45699.0,38929.0,31413.0,24047.0,29185.0,25425.0,20868.0,17369.0,13301.0,10418.0,11124.0,,,
CZ,Import,EU28,195680.0,179880.0,166916.0,165987.0,163171.0,143255.0,117713.0,148672.0,138290.0,119624.0,100224.0,90403.0,65403.0,62479.0,,,
CZ,Import,EXT_EU28,57930.0,52526.0,50327.0,54145.0,55399.0,47818.0,32917.0,44470.0,34157.0,28816.0,22744.0,22028.0,26052.0,23514.0,,,
