partner,currency,stk_flow,sitc06,geo\time	2014 	2012 	2010 
EXT_EU,EUR,EXP,SITC0-4A,AT	61.9 	65.6 	67 
EXT_EU,EUR,EXP,SITC0-4A,BE	53.8 	85.8 	92.4 
EXT_EU,EUR,EXP,SITC0-4A,BG	57 	46.2 	54.1 
EXT_EU,EUR,EXP,SITC0-4A,CY	79.1 	60.7 	61.4 
EXT_EU,EUR,EXP,SITC0-4A,CZ	58.3 	66.7 	59.1 
EXT_EU,EUR,EXP,SITC0-4A,DE	62.5 	61.5 	65.9 
EXT_EU,EUR,EXP,SITC0-4A,DK	12.8 	14 	12.2 
EXT_EU,EUR,EXP,SITC0-4A,EA	60.7 	65.4 	64.1 
EXT_EU,EUR,EXP,SITC0-4A,EE	67.9 	62.8 	51.8 
EXT_EU,EUR,EXP,SITC0-4A,EL	60.3 	58.4 	59 
EXT_EU,EUR,EXP,SITC0-4A,ES	61.8 	63.7 	75.6 
EXT_EU,EUR,EXP,SITC0-4A,EU	50.1 	53.5 	53.2 
EXT_EU,EUR,EXP,SITC0-4A,FI	42.4 	40.7 	47.7 
EXT_EU,EUR,EXP,SITC0-4A,FR	63.8 	62.3 	58.4 
EXT_EU,EUR,EXP,SITC0-4A,HR	77.3 	: 	: 
EXT_EU,EUR,EXP,SITC0-4A,HU	45.4 	45.5 	67.8 
EXT_EU,EUR,EXP,SITC0-4A,IE	45.1 	38.9 	36.8 
EXT_EU,EUR,EXP,SITC0-4A,IT	73.1 	73.1 	70.6 
EXT_EU,EUR,EXP,SITC0-4A,LT	75.8 	79.4 	70.9 
EXT_EU,EUR,EXP,SITC0-4A,LU	99 	96.6 	94.8 
EXT_EU,EUR,EXP,SITC0-4A,LV	56.4 	49.7 	59.5 
EXT_EU,EUR,EXP,SITC0-4A,MT	13.6 	34.2 	8.7 
EXT_EU,EUR,EXP,SITC0-4A,NL	52.4 	53.8 	53.1 
EXT_EU,EUR,EXP,SITC0-4A,PL	0 	0 	0.5 
EXT_EU,EUR,EXP,SITC0-4A,PT	72.8 	72.8 	78 
EXT_EU,EUR,EXP,SITC0-4A,RO	45.3 	43.4 	38.1 
EXT_EU,EUR,EXP,SITC0-4A,SE	17.4 	14.8 	27.4 
EXT_EU,EUR,EXP,SITC0-4A,SI	85.7 	92.1 	91.2 
EXT_EU,EUR,EXP,SITC0-4A,SK	93.4 	96.5 	93.6 
EXT_EU,EUR,EXP,SITC0-4A,UK	4.6 	3.1 	3.2 
EXT_EU,EUR,EXP,SITC33,AT	54.5 	60.5 	91.9 
EXT_EU,EUR,EXP,SITC33,BE	17.1 	16.1 	21.8 
EXT_EU,EUR,EXP,SITC33,BG	0.6 	1.9 	3.1 
EXT_EU,EUR,EXP,SITC33,CY	46.1 	56.1 	73.2 
EXT_EU,EUR,EXP,SITC33,CZ	15.7 	16.1 	15.3 
EXT_EU,EUR,EXP,SITC33,DE	68 	61.6 	50.3 
EXT_EU,EUR,EXP,SITC33,DK	4.9 	3.5 	3.8 
EXT_EU,EUR,EXP,SITC33,EA	33.3 	35.7 	26.9 
EXT_EU,EUR,EXP,SITC33,EE	9.6 	10 	1.7 
EXT_EU,EUR,EXP,SITC33,EL	7.1 	14.5 	12.8 
EXT_EU,EUR,EXP,SITC33,ES	17.2 	13.9 	30.6 
EXT_EU,EUR,EXP,SITC33,EU	27.5 	28.7 	22.8 
EXT_EU,EUR,EXP,SITC33,FI	10.8 	17.6 	10.1 
EXT_EU,EUR,EXP,SITC33,FR	9.3 	20.1 	7.5 
EXT_EU,EUR,EXP,SITC33,HR	83.1 	: 	: 
EXT_EU,EUR,EXP,SITC33,HU	10.2 	12.1 	49.8 
EXT_EU,EUR,EXP,SITC33,IE	0 	0 	0.2 
EXT_EU,EUR,EXP,SITC33,IT	5.9 	22 	16.1 
EXT_EU,EUR,EXP,SITC33,LT	1.8 	1.8 	0.4 
EXT_EU,EUR,EXP,SITC33,LU	84.4 	95.1 	98.1 
EXT_EU,EUR,EXP,SITC33,LV	56.8 	7.2 	14.7 
EXT_EU,EUR,EXP,SITC33,MT	6.7 	0 	41.7 
EXT_EU,EUR,EXP,SITC33,NL	75.7 	72.2 	58.7 
