stk_flow,indic_et,partner,bec,geo\time	2015M03 	2015M04 	2015M05 	2015M06 	2015M07 	2015M08 	2015M09 	2015M10 	2015M11 	2015M12 	2016M01 	2016M02 
BAL_RT,TRD_VAL_SWDA,WORLD,TOTAL,AT	-147.7 	-177.6 	-91.3 	-171.3 	-287.4 	56.7 	-413.9 	-319.3 	-168.6 	-40.1 	11.2 	-77.3 
BAL_RT,TRD_VAL_SWDA,WORLD,TOTAL,BE	1262.9 	1211.2 	1297.2 	1289.5 	1222.7 	1563.5 	1238.7 	1720.1 	1628.7 	2925.5 	2517.1 	947.9 
BAL_RT,TRD_VAL_SWDA,WORLD,TOTAL,BG	-304.4 	-230.1 	-227 	-249.8 	-351.8 	-245.9 	-266.1 	-258.7 	-334.9 	-177.5 	-62.9 	-152.9 
BAL_RT,TRD_VAL_SWDA,WORLD,TOTAL,CY	-252.5 	-342.3 	-256.3 	-319.8 	-298.5 	-278.8 	-276.3 	-296.3 	-244.7 	-289.3 	-246.3 	-269.2 
BAL_RT,TRD_VAL_SWDA,WORLD,TOTAL,CZ	1309.2 	1371.3 	1208.2 	1445.9 	1243.1 	1285.8 	1311.5 	1488 	1408.2 	1419.8 	1771 	1498.7 
BAL_RT,TRD_VAL_SWDA,WORLD,TOTAL,DE	21395.8 	21612 	22342.7 	21643.7 	22223.3 	20174 	20735 	19856.1 	21685.4 	20496 	25082.9 	20290.1 
BAL_RT,TRD_VAL_SWDA,WORLD,TOTAL,DK	1194.3 	944.9 	809.8 	668.7 	550.2 	429.6 	804.1 	532.2 	572.1 	683.8 	628.2 	341 
BAL_RT,TRD_VAL_SWDA,WORLD,TOTAL,EA19	17486.3 	19567.1 	21251.8 	19370.5 	22503.6 	19329.6 	19582.8 	19466.7 	22643.7 	22168.5 	22782.9 	20188.4 
BAL_RT,TRD_VAL_SWDA,WORLD,TOTAL,EE	-113 	-63.3 	-106.8 	-141.7 	-109.2 	-116.8 	-152 	-119.3 	-113 	-114.8 	-183.4 	-132.9 
BAL_RT,TRD_VAL_SWDA,WORLD,TOTAL,EL	-1600.3 	-1694.7 	-1517.5 	-1603.3 	-923.2 	-1208.9 	-1458.2 	-1576.4 	-1510.1 	-1386.1 	-1519.4 	-1589.1 
BAL_RT,TRD_VAL_SWDA,WORLD,TOTAL,ES	-2079.3 	-2306.3 	-1610 	-2662.2 	-2149.9 	-2477.8 	-2155.5 	-1754.5 	-2262 	-1956.2 	-1788 	-1748.8 
BAL_RT,TRD_VAL_SWDA,WORLD,TOTAL,EU28	2949.3 	5891.3 	6481.8 	4328.4 	6457.8 	5870.8 	4873.3 	2424.3 	5535 	11455.1 	5097.4 	5317.1 
BAL_RT,TRD_VAL_SWDA,WORLD,TOTAL,FI	-169.4 	532.3 	212.7 	162.9 	27.7 	-173.5 	-72.9 	-126 	-176.6 	-115.2 	-207.1 	48.6 
BAL_RT,TRD_VAL_SWDA,WORLD,TOTAL,FR	-6316.3 	-4123.1 	-5192.6 	-3993.4 	-5341.6 	-4638.7 	-5090.9 	-5587.2 	-5550.8 	-5551.3 	-5188 	-5373 
BAL_RT,TRD_VAL_SWDA,WORLD,TOTAL,HR	-617.3 	-590.6 	-596.9 	-484.7 	-578.3 	-612.2 	-575 	-535.6 	-506 	-614.5 	-659.9 	-581.2 
BAL_RT,TRD_VAL_SWDA,WORLD,TOTAL,HU	436.4 	299.4 	275.2 	463.4 	443.8 	351.9 	375 	387.4 	379.7 	604.4 	450.4 	448.2 
BAL_RT,TRD_VAL_SWDA,WORLD,TOTAL,IE	3327.3 	3577.6 	3887.2 	3686.5 	3748 	3772.3 	3632 	3965 	3938.2 	3213 	4432.7 	3836.6 
BAL_RT,TRD_VAL_SWDA,WORLD,TOTAL,IT	3661.6 	3532.8 	3564 	2500.7 	4141.4 	3339.5 	3569.7 	3565.4 	4559.3 	4735.7 	3790 	4528.5 
BAL_RT,TRD_VAL_SWDA,WORLD,TOTAL,LT	-239.4 	-275.3 	-216.6 	-248.5 	-246.6 	-257.1 	-160.3 	-135 	-61.5 	-228.4 	-69.5 	-79.9 
BAL_RT,TRD_VAL_SWDA,WORLD,TOTAL,LU	-705 	-475.6 	-339.4 	-528.7 	-429.8 	-414 	-656.5 	-418 	-441.3 	-163.6 	-322 	-333.7 
BAL_RT,TRD_VAL_SWDA,WORLD,TOTAL,LV	-184.8 	-153.6 	-237.8 	-215.4 	-183 	-243.7 	-124.1 	-132 	-136.4 	-126.6 	-177.6 	-162.4 
BAL_RT,TRD_VAL_SWDA,WORLD,TOTAL,MT	-275.4 	-110.1 	-429.9 	-349.5 	-287.1 	-258.9 	-213 	-144.1 	-208.2 	-143.9 	-109.5 	-543.8 
BAL_RT,TRD_VAL_SWDA,WORLD,TOTAL,NL	3964.8 	3843.1 	4104.2 	5288.5 	5093.1 	4595.9 	4492.7 	4173.7 	4559.3 	4238.9 	5100.2 	4359.1 
BAL_RT,TRD_VAL_SWDA,WORLD,TOTAL,PL	542.6 	-428.3 	618.1 	130.1 	-173.2 	-4.8 	-148.5 	400.4 	704.3 	1245 	494.1 	394.9 
BAL_RT,TRD_VAL_SWDA,WORLD,TOTAL,PT	-879.1 	-946.7 	-1135.1 	-974.6 	-897.7 	-803 	-906.9 	-765.2 	-768.1 	-855.3 	-813.6 	-910.9 
BAL_RT,TRD_VAL_SWDA,WORLD,TOTAL,RO	-749.8 	-597.8 	-579.9 	-747.7 	-701.7 	-807.5 	-691.8 	-761.2 	-776.7 	-924 	-778.6 	-823.2 
BAL_RT,TRD_VAL_SWDA,WORLD,TOTAL,SE	315.5 	376.4 	145.7 	381.6 	-72.2 	73.7 	288.6 	-151.3 	-268.2 	610.3 	-40.2 	-154.3 
BAL_RT,TRD_VAL_SWDA,WORLD,TOTAL,SI	185.7 	79 	210 	157.4 	175.3 	115.2 	171.8 	169.2 	226.5 	186.6 	285.4 	283.2 
BAL_RT,TRD_VAL_SWDA,WORLD,TOTAL,SK	288.5 	98.6 	89.5 	216.2 	175.3 	10.5 	75.6 	68.7 	211.7 	196.2 	164.5 	251.7 
BAL_RT,TRD_VAL_SWDA,WORLD,TOTAL,UK	-12751.5 	-10941.3 	-12312 	-12143.2 	-12350 	-11060.1 	-11677.4 	-14244.6 	-14073.8 	-8867.7 	-12497.1 	-12548.7 
